<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>
EURUSD;D;12/08/17;000000;1.1819500;1.1826000;1.1819500;1.1824100
EURUSD;D;13/08/17;000000;1.1805000;1.1826800;1.1805000;1.1818700
EURUSD;D;14/08/17;000000;1.1822200;1.1840000;1.1769000;1.1777900
EURUSD;D;15/08/17;000000;1.1778500;1.1792800;1.1686000;1.1733500
EURUSD;D;16/08/17;000000;1.1732700;1.1778800;1.1680800;1.1766400
EURUSD;D;17/08/17;000000;1.1766000;1.1790000;1.1661500;1.1722600
EURUSD;D;18/08/17;000000;1.1721600;1.1774600;1.1707000;1.1758600
EURUSD;D;19/08/17;000000;1.1757000;1.1765000;1.1755900;1.1760000
EURUSD;D;20/08/17;000000;1.1758200;1.1764000;1.1753000;1.1755600
EURUSD;D;21/08/17;000000;1.1760500;1.1828200;1.1729400;1.1814500
EURUSD;D;22/08/17;000000;1.1813200;1.1824400;1.1743500;1.1760500
EURUSD;D;23/08/17;000000;1.1760700;1.1823200;1.1739200;1.1806000
EURUSD;D;24/08/17;000000;1.1805700;1.1817800;1.1782600;1.1798700
EURUSD;D;25/08/17;000000;1.1798600;1.1941500;1.1772000;1.1921900
EURUSD;D;26/08/17;000000;1.1928000;1.1928000;1.1918300;1.1924000
EURUSD;D;27/08/17;000000;1.1931000;1.1962000;1.1928500;1.1943600
EURUSD;D;28/08/17;000000;1.1943500;1.1983800;1.1915000;1.1978300
EURUSD;D;29/08/17;000000;1.1978600;1.2070400;1.1945000;1.1971000
EURUSD;D;30/08/17;000000;1.1971600;1.1984500;1.1879000;1.1882800
EURUSD;D;31/08/17;000000;1.1883600;1.1912800;1.1821000;1.1908900
EURUSD;D;01/09/17;000000;1.1909300;1.1979800;1.1848800;1.1858000
EURUSD;D;02/09/17;000000;1.1857000;1.1857000;1.1857000;1.1857000
EURUSD;D;03/09/17;000000;1.1857000;1.1887300;1.1851300;1.1880600
EURUSD;D;04/09/17;000000;1.1884300;1.1922100;1.1872300;1.1896500
EURUSD;D;05/09/17;000000;1.1894000;1.1940800;1.1867000;1.1913500
EURUSD;D;06/09/17;000000;1.1911200;1.1950400;1.1902000;1.1916600
EURUSD;D;07/09/17;000000;1.1915800;1.2059700;1.1913000;1.2020000
EURUSD;D;08/09/17;000000;1.2022800;1.2092400;1.2013000;1.2033400
EURUSD;D;09/09/17;000000;1.2035000;1.2035000;1.2035000;1.2035000
EURUSD;D;10/09/17;000000;1.2039000;1.2039000;1.2007000;1.2016000
EURUSD;D;11/09/17;000000;1.2016000;1.2030000;1.1946000;1.1952100
EURUSD;D;12/09/17;000000;1.1951900;1.1978200;1.1925000;1.1965500
EURUSD;D;13/09/17;000000;1.1966500;1.1994900;1.1871000;1.1884600
EURUSD;D;14/09/17;000000;1.1885200;1.1922500;1.1837000;1.1918500
EURUSD;D;15/09/17;000000;1.1918200;1.1987200;1.1900000;1.1942500
EURUSD;D;16/09/17;000000;1.1941900;1.1945400;1.1941700;1.1941800
EURUSD;D;17/09/17;000000;1.1944200;1.1947000;1.1917900;1.1919400
EURUSD;D;18/09/17;000000;1.1919300;1.1970000;1.1913000;1.1950500
EURUSD;D;19/09/17;000000;1.1953500;1.2006700;1.1948000;1.1994000
EURUSD;D;20/09/17;000000;1.1994400;1.2034100;1.1860000;1.1890600
EURUSD;D;21/09/17;000000;1.1892300;1.1953800;1.1864000;1.1940300
EURUSD;D;22/09/17;000000;1.1940300;1.2004600;1.1935000;1.1946900
EURUSD;D;23/09/17;000000;1.1945900;1.1951000;1.1945900;1.1951000
EURUSD;D;24/09/17;000000;1.1951000;1.1960000;1.1894700;1.1897600
EURUSD;D;25/09/17;000000;1.1897500;1.1936600;1.1831000;1.1848100
EURUSD;D;26/09/17;000000;1.1846400;1.1861600;1.1756000;1.1791500
EURUSD;D;27/09/17;000000;1.1791900;1.1795400;1.1716000;1.1744700
EURUSD;D;28/09/17;000000;1.1744400;1.1804100;1.1720000;1.1784900
EURUSD;D;29/09/17;000000;1.1784700;1.1832500;1.1770000;1.1812800
EURUSD;D;30/09/17;000000;1.1813000;1.1813000;1.1813000;1.1813000
EURUSD;D;01/10/17;000000;1.1813000;1.1816000;1.1775000;1.1790200
EURUSD;D;02/10/17;000000;1.1790100;1.1815100;1.1728000;1.1731300
EURUSD;D;03/10/17;000000;1.1731500;1.1773600;1.1695000;1.1742000
EURUSD;D;04/10/17;000000;1.1743300;1.1787800;1.1734000;1.1759000
EURUSD;D;05/10/17;000000;1.1757200;1.1780000;1.1698000;1.1710100
EURUSD;D;06/10/17;000000;1.1710700;1.1740000;1.1668000;1.1729900
EURUSD;D;07/10/17;000000;1.1727600;1.1729300;1.1725900;1.1725900
EURUSD;D;08/10/17;000000;1.1734000;1.1736200;1.1714000;1.1726600
EURUSD;D;09/10/17;000000;1.1733700;1.1756100;1.1718000;1.1739300
EURUSD;D;10/10/17;000000;1.1739700;1.1825500;1.1737000;1.1807000
EURUSD;D;11/10/17;000000;1.1807900;1.1869200;1.1794000;1.1858000
EURUSD;D;12/10/17;000000;1.1856700;1.1880000;1.1826000;1.1829300
EURUSD;D;13/10/17;000000;1.1829400;1.1875000;1.1804000;1.1819900
EURUSD;D;15/10/17;000000;1.1820000;1.1823000;1.1809000;1.1810000
EURUSD;D;16/10/17;000000;1.1810400;1.1820000;1.1779000;1.1795900
EURUSD;D;17/10/17;000000;1.1795500;1.1800200;1.1735000;1.1765500
EURUSD;D;18/10/17;000000;1.1765800;1.1805400;1.1729000;1.1787000
